"AAAS";13;"Afr & AfrAmerican Studies"
"ANTH";16;"Anthropology"
"ARAB";17;"Arabic"
"ARTH";18;"Art History"
"AMEL";14;"Asian/Mideast Lang/Lit"
"AMES";15;"Asian/Mideast Studies"
"ASTR";19;"Astronomy"
"BIOC";78;"Biochemistry"
"BIOL";20;"Biology"
"CHEM";21;"Chemistry"
"CHIN";22;"Chinese"
"CLST";23;"Classical Studies"
"COGS";25;"Cognitive Science"
"COCO";24;"College Course"
"COLT";26;"Comparative Literature"
"COSC";27;"Computer Science"
"EARS";28;"Earth Sciences"
"ECON";29;"Economics"
"EDUC";30;"Education"
"ENGM";88;"Engineering Masters"
"ENGS";32;"Engineering Sciences"
"ENGL";31;"English"
"ENVS";33;"Environmental Studies"
"FILM";34;"Film Studies"
"FREN";35;"French"
"FRIT";36;"French/Italian in Translation"
"GENE";81;"Genetics"
"GEOG";37;"Geography"
"GERM";38;"German"
"GOVT";39;"Government"
"GRK";40;"Greek"
"HEBR";41;"Hebrew"
"HIST";42;"History"
"HUBI";43;"Human Biology"
"HUM";44;"Humanities"
"INTS";87;"International Studies"
"ITAL";45;"Italian"
"JAPN";46;"Japanese"
"JWST";47;"Jewish Studies"
"KORN";75;"Korean Language and Literature"
"LAT";49;"Latin"
"LACS";48;"Latin Am/Caribbean Studies"
"LATS";50;"Latino Studies"
"MALS";52;"Liberal Studies"
"LING";51;"Linguistics/Cognitive Studies"
"MATH";53;"Mathematics"
"M&SS";54;"Mathematics & Social Sciences"
"MICR";82;"Microbiology"
"MUS";55;"Music"
"NAS";56;"Native American Studies"
"??";83;"Pharmacology and Toxicology"
"PHIL";58;"Philosophy"
"PHYS";59;"Physics"
"???";85;"Physiology"
"PORT";60;"Portuguese"
"???";84;"Program in Experimental and Molecular Medicine"
"PSYC";61;"Psychology"
"PBPL";57;"Public Policy"
"REL";62;"Religion"
"RUSS";63;"Russian"
"SCI";65;"Science"
"SSOC";70;"Social Science"
"SOCY";67;"Sociology"
"SPAN";68;"Spanish"
"SPEE";69;"Speech"
"SIS";66;"Student Initiated Seminar"
"SART";64;"Studio Art"
"ENGG";80;"Thayer School Of Engineering"
"THEA";71;"Theater"
"TUCK";77;"Tuck"
"???";86;"UNSQ? Unknown"
"WPS";76;"War and Peace Studies"
"WSGT";72;"Women's Studies"
"WRIT";74;"Writing Program"
